"otu"	"tax"	"sim"
"34747"	"SCOR.D2.10m.DNA_496629"	27885	98.8
"34753"	"SCOR.D2.10m.DNA_496634"	10557	95.96
"34757"	"SCOR.D2.10m.DNA_496638"	41856	99.79
"34760"	"SCOR.D2.10m.DNA_496641"	10557	95.9
"34774"	"SCOR.D2.10m.DNA_496655"	35162	99.17
"34795"	"SCOR.D2.10m.DNA_496675"	23633	98.68
"34801"	"SCOR.D2.10m.DNA_496680"	41856	99.79
"34803"	"SCOR.D2.10m.DNA_496682"	10557	95.96
"34807"	"SCOR.D2.10m.DNA_496686"	23633	98.32
"34822"	"SCOR.D2.10m.DNA_496700"	10939	98.59
"34839"	"SCOR.D2.10m.DNA_496717"	41856	99.37
"34863"	"SCOR.D2.10m.DNA_496738"	10939	97.92
"34901"	"SCOR.D2.10m.DNA_496775"	41856	100
"34938"	"SCOR.D2.10m.DNA_496810"	41856	100
"34939"	"SCOR.D2.10m.DNA_496811"	23633	99.16
"34976"	"SCOR.D2.10m.DNA_496847"	23633	98.33
"34998"	"SCOR.D2.10m.DNA_496869"	23633	98.91
"35003"	"SCOR.D2.10m.DNA_496874"	23633	98.33
"35008"	"SCOR.D2.10m.DNA_496879"	23633	98.82
"35086"	"SCOR.D2.10m.DNA_496949"	41856	99.58
"35089"	"SCOR.D2.10m.DNA_496952"	10557	95.05
"35105"	"SCOR.D2.10m.DNA_496968"	23633	99.58
"35118"	"SCOR.D2.10m.DNA_496979"	12385	100
"35132"	"SCOR.D2.10m.DNA_496993"	23633	99.58
"35139"	"SCOR.D2.10m.DNA_497000"	27885	98.6
"35174"	"SCOR.D2.10m.DNA_497035"	41856	100
"35184"	"SCOR.D2.10m.DNA_497045"	23633	98.53
"35187"	"SCOR.D2.10m.DNA_497048"	23633	99.02
"35207"	"SCOR.D2.10m.DNA_497068"	10557	95.74
"35208"	"SCOR.D2.10m.DNA_497069"	23633	99.2
"35227"	"SCOR.D2.10m.DNA_497088"	10557	95.96
"35237"	"SCOR.D2.10m.DNA_497098"	10939	98.19
"35251"	"SCOR.D2.10m.DNA_497110"	27885	98.8
"35263"	"SCOR.D2.10m.DNA_497122"	41856	99.07
"35275"	"SCOR.D2.10m.DNA_497134"	41856	100
"35306"	"SCOR.D2.10m.DNA_497164"	23633	99.16
"35318"	"SCOR.D2.10m.DNA_497176"	23633	98.53
"35329"	"SCOR.D2.10m.DNA_497187"	23633	99.3
"35332"	"SCOR.D2.10m.DNA_497190"	23633	99.56
"35366"	"SCOR.D2.10m.DNA_497223"	23633	97.91
"35394"	"SCOR.D2.10m.DNA_497251"	41856	98.81
"35404"	"SCOR.D2.10m.DNA_497260"	10939	98.18
"35411"	"SCOR.D2.10m.DNA_497267"	41856	99.58
"35432"	"SCOR.D2.10m.DNA_497288"	23633	99.79
"35441"	"SCOR.D2.10m.DNA_497297"	10557	95.74
"35445"	"SCOR.D2.10m.DNA_497301"	41856	100
"35473"	"SCOR.D2.10m.DNA_497327"	23633	99.16
"35578"	"SCOR.D2.10m.DNA_497430"	35162	99
"35594"	"SCOR.D2.10m.DNA_497445"	23633	97.51
"35674"	"SCOR.D2.10m.DNA_497523"	41856	99.37
"35707"	"SCOR.D2.10m.DNA_497555"	41856	99.79
"35734"	"SCOR.D2.10m.DNA_497582"	23633	98.95
"35736"	"SCOR.D2.10m.DNA_497584"	32070	98.81
"35757"	"SCOR.D2.10m.DNA_497605"	10557	95.96
"35768"	"SCOR.D2.10m.DNA_497616"	23633	99.79
"35771"	"SCOR.D2.10m.DNA_497619"	10557	95.53
"35779"	"SCOR.D2.10m.DNA_497627"	23633	99.37
"35804"	"SCOR.D2.10m.DNA_497651"	41856	100
"35814"	"SCOR.D2.10m.DNA_497660"	10939	97.98
"35833"	"SCOR.D2.10m.DNA_497677"	10939	98.38
"35835"	"SCOR.D2.10m.DNA_497679"	10557	95.96
"35841"	"SCOR.D2.10m.DNA_497685"	23633	99.36
"35844"	"SCOR.D2.10m.DNA_497688"	23633	98.95
"35857"	"SCOR.D2.10m.DNA_497701"	10557	95.74
"35869"	"SCOR.D2.10m.DNA_497713"	27885	98.6
"35891"	"SCOR.D2.10m.DNA_497734"	41856	99.77
"35892"	"SCOR.D2.10m.DNA_497735"	23633	99.37
"35893"	"SCOR.D2.10m.DNA_497736"	10557	95.74
"35897"	"SCOR.D2.10m.DNA_497740"	41856	99.79
"35906"	"SCOR.D2.10m.DNA_497749"	41856	99.37
"35931"	"SCOR.D2.10m.DNA_497772"	23633	98.31
"35961"	"SCOR.D2.10m.DNA_497802"	23633	98.95
"35982"	"SCOR.D2.10m.DNA_497821"	41856	99.58
"36069"	"SCOR.D2.10m.DNA_497905"	41856	99.58
"36081"	"SCOR.D2.10m.DNA_497916"	10557	95.53
"36084"	"SCOR.D2.10m.DNA_497919"	10939	98.38
"36089"	"SCOR.D2.10m.DNA_497924"	23633	98.74
"36176"	"SCOR.D2.10m.DNA_498009"	23633	97.48
"36186"	"SCOR.D2.10m.DNA_498019"	12385	99.36
"36194"	"SCOR.D2.10m.DNA_498026"	23633	98.12
"36224"	"SCOR.D2.10m.DNA_498056"	23633	97.61
"36250"	"SCOR.D2.10m.DNA_498081"	10557	95.96
"36256"	"SCOR.D2.10m.DNA_498087"	23633	98.95
"36276"	"SCOR.D2.10m.DNA_498107"	23633	96.74
"36285"	"SCOR.D2.10m.DNA_498116"	10557	95.96
"36288"	"SCOR.D2.10m.DNA_498119"	32940	99.4
"36304"	"SCOR.D2.10m.DNA_498135"	41856	99.79
"36312"	"SCOR.D2.10m.DNA_498143"	41856	100
"36313"	"SCOR.D2.10m.DNA_498144"	10939	98.38
"36318"	"SCOR.D2.10m.DNA_498149"	41856	99.79
"36332"	"SCOR.D2.10m.DNA_498163"	41856	99.79
"36359"	"SCOR.D2.10m.DNA_498187"	10939	98.31
"36376"	"SCOR.D2.10m.DNA_498203"	41856	99.79
"36398"	"SCOR.D2.10m.DNA_498225"	10939	98.59
"36405"	"SCOR.D2.10m.DNA_498232"	27885	97.79
"36409"	"SCOR.D2.10m.DNA_498236"	41856	99.79
"36433"	"SCOR.D2.10m.DNA_498259"	23633	98.32
"36440"	"SCOR.D2.10m.DNA_498266"	41856	99.79
"36458"	"SCOR.D2.10m.DNA_498284"	41856	100
"36475"	"SCOR.D2.10m.DNA_498300"	41856	99.58
"36493"	"SCOR.D2.10m.DNA_498319"	23633	98.95
"36500"	"SCOR.D2.10m.DNA_498326"	10557	95.74
"36516"	"SCOR.D2.10m.DNA_498342"	41856	99.79
"36535"	"SCOR.D2.10m.DNA_498361"	41856	99.79
"36545"	"SCOR.D2.10m.DNA_498371"	41856	99.37
"36599"	"SCOR.D2.10m.DNA_498422"	41856	99.79
"36601"	"SCOR.D2.10m.DNA_498424"	41856	100
"36602"	"SCOR.D2.10m.DNA_498425"	41856	99.58
"36603"	"SCOR.D2.10m.DNA_498426"	10557	95.96
"36620"	"SCOR.D2.10m.DNA_498442"	27885	98.76
"36622"	"SCOR.D2.10m.DNA_498444"	23633	99.37
"36638"	"SCOR.D2.10m.DNA_498460"	10557	95.92
"36649"	"SCOR.D2.10m.DNA_498471"	23633	97.71
"36661"	"SCOR.D2.10m.DNA_498483"	23633	99.58
"36664"	"SCOR.D2.10m.DNA_498486"	41856	99.58
"36684"	"SCOR.D2.10m.DNA_498507"	23633	99.37
"36733"	"SCOR.D2.10m.DNA_498556"	23633	99.58
"36762"	"SCOR.D2.10m.DNA_498585"	23633	98.95
"36796"	"SCOR.D2.10m.DNA_498619"	41856	99.58
"36805"	"SCOR.D2.10m.DNA_498628"	23633	97.53
"36832"	"SCOR.D2.10m.DNA_498652"	41856	100
"36840"	"SCOR.D2.10m.DNA_498660"	41856	99.58
"36853"	"SCOR.D2.10m.DNA_498673"	41856	99.36
"36861"	"SCOR.D2.10m.DNA_498681"	23633	98.31
"36879"	"SCOR.D2.10m.DNA_498699"	27885	98.59
"36897"	"SCOR.D2.10m.DNA_498713"	10557	95.49
"36926"	"SCOR.D2.10m.DNA_498739"	41856	98.95
"36988"	"SCOR.D2.10m.DNA_498797"	4362	99.59
"36995"	"SCOR.D2.10m.DNA_498803"	32070	99.01
"37005"	"SCOR.D2.10m.DNA_498813"	41856	100
"37061"	"SCOR.D2.10m.DNA_498865"	23633	97.31
"37079"	"SCOR.D2.10m.DNA_498882"	41856	100
"37096"	"SCOR.D2.10m.DNA_498900"	23633	97.9
"37147"	"SCOR.D2.10m.DNA_498950"	23633	99.58
"37162"	"SCOR.D2.10m.DNA_498966"	10557	95.9
"37178"	"SCOR.D2.10m.DNA_498981"	23633	99.37
"37182"	"SCOR.D2.10m.DNA_498985"	35162	99.2
"37190"	"SCOR.D2.10m.DNA_498993"	41856	99.58
"37196"	"SCOR.D2.10m.DNA_498999"	41856	100
"37216"	"SCOR.D2.10m.DNA_499019"	35162	99.2
"37241"	"SCOR.D2.10m.DNA_499042"	27885	97.99
"37249"	"SCOR.D2.10m.DNA_499050"	41856	100
"37302"	"SCOR.D2.10m.DNA_499101"	23633	97.9
"37303"	"SCOR.D2.10m.DNA_499102"	23633	99.79
"37372"	"SCOR.D2.10m.DNA_499171"	35162	99.39
"37376"	"SCOR.D2.10m.DNA_499175"	23633	98.54
"37393"	"SCOR.D2.10m.DNA_499192"	22164	99.54
"37402"	"SCOR.D2.10m.DNA_499201"	23633	98.54
"37448"	"SCOR.D2.10m.DNA_499247"	35162	99.38
"37472"	"SCOR.D2.10m.DNA_499271"	23633	97.29
"37479"	"SCOR.D2.10m.DNA_499278"	41856	99.16
"37546"	"SCOR.D2.10m.DNA_499344"	27885	98.8
"37568"	"SCOR.D2.10m.DNA_499364"	27885	98.57
"37569"	"SCOR.D2.10m.DNA_499365"	23633	99.16
"37590"	"SCOR.D2.10m.DNA_499385"	41856	100
"37592"	"SCOR.D2.10m.DNA_499387"	23633	98.32
"37616"	"SCOR.D2.10m.DNA_499411"	10557	95.96
"37617"	"SCOR.D2.10m.DNA_499412"	41856	99.79
"37631"	"SCOR.D2.10m.DNA_499425"	23633	98.95
"37641"	"SCOR.D2.10m.DNA_499434"	41856	99.77
"37750"	"SCOR.D2.10m.DNA_499538"	23633	99.37
"37794"	"SCOR.D2.10m.DNA_499581"	41856	98.73
"37835"	"SCOR.D2.10m.DNA_499618"	23633	99.58
"37837"	"SCOR.D2.10m.DNA_499620"	10557	95.74
"37852"	"SCOR.D2.10m.DNA_499633"	32070	97.42
"37889"	"SCOR.D2.10m.DNA_499670"	23633	99.16
"37905"	"SCOR.D2.10m.DNA_499684"	41856	99.79
"37954"	"SCOR.D2.10m.DNA_499733"	30591	100
"37977"	"SCOR.D2.10m.DNA_499756"	10557	95.55
"38007"	"SCOR.D2.10m.DNA_499784"	41856	100
"38042"	"SCOR.D2.10m.DNA_499816"	10557	95.96
"38050"	"SCOR.D2.10m.DNA_499825"	27885	98.39
"38071"	"SCOR.D2.10m.DNA_499846"	35162	99
"38074"	"SCOR.D2.10m.DNA_499849"	23633	99.37
"38127"	"SCOR.D2.10m.DNA_499901"	41856	99.79
"38141"	"SCOR.D2.10m.DNA_499915"	10939	98.11
"38178"	"SCOR.D2.10m.DNA_499951"	23633	99.16
"38183"	"SCOR.D2.10m.DNA_499956"	10939	98.38
"38189"	"SCOR.D2.10m.DNA_499962"	41856	99.37
"38193"	"SCOR.D2.10m.DNA_499966"	41856	100
"38216"	"SCOR.D2.10m.DNA_499989"	41856	99.79
"38222"	"SCOR.D2.10m.DNA_499995"	41856	99.16
"38245"	"SCOR.D2.10m.DNA_500015"	41856	99.79
"38258"	"SCOR.D2.10m.DNA_500027"	10557	95.09
"38271"	"SCOR.D2.10m.DNA_500041"	23633	98.11
"38292"	"SCOR.D2.10m.DNA_500062"	10557	95.54
"38297"	"SCOR.D2.10m.DNA_500067"	10557	95.74
"38325"	"SCOR.D2.10m.DNA_500094"	41856	99.58
"38347"	"SCOR.D2.10m.DNA_500115"	23633	98.74
"38351"	"SCOR.D2.10m.DNA_500119"	41856	99.79
"38372"	"SCOR.D2.10m.DNA_500139"	23633	98.74
"38383"	"SCOR.D2.10m.DNA_500150"	10557	95.7
"38440"	"SCOR.D2.10m.DNA_500207"	23633	99.58
"38472"	"SCOR.D2.10m.DNA_500239"	23633	99.37
"38475"	"SCOR.D2.10m.DNA_500241"	23633	99.79
"38496"	"SCOR.D2.10m.DNA_500261"	23633	98.95
"38519"	"SCOR.D2.10m.DNA_500283"	27885	98.19
"38524"	"SCOR.D2.10m.DNA_500288"	41856	99.79
"38531"	"SCOR.D2.10m.DNA_500295"	23633	98.11
"38550"	"SCOR.D2.10m.DNA_500313"	41856	98.74
"38572"	"SCOR.D2.10m.DNA_500335"	35162	99
"38599"	"SCOR.D2.10m.DNA_500362"	10557	95.54
"38613"	"SCOR.D2.10m.DNA_500376"	10557	95.49
"38632"	"SCOR.D2.10m.DNA_500395"	23633	98.95
"38668"	"SCOR.D2.10m.DNA_500429"	23633	98.78
"38685"	"SCOR.D2.10m.DNA_500446"	41856	100
"38705"	"SCOR.D2.10m.DNA_500466"	23633	99.16
"38707"	"SCOR.D2.10m.DNA_500468"	41856	99.79
"38723"	"SCOR.D2.10m.DNA_500484"	23633	98.11
"38727"	"SCOR.D2.10m.DNA_500488"	35162	99.15
"38730"	"SCOR.D2.10m.DNA_500491"	23633	98.95
"38731"	"SCOR.D2.10m.DNA_500492"	41856	100
"38737"	"SCOR.D2.10m.DNA_500498"	41856	99.58
"38745"	"SCOR.D2.10m.DNA_500506"	41856	99.58
"38761"	"SCOR.D2.10m.DNA_500524"	41856	100
"38767"	"SCOR.D2.10m.DNA_500530"	41856	99.79
"38806"	"SCOR.D2.10m.DNA_500567"	4362	96.07
"38829"	"SCOR.D2.10m.DNA_500588"	32070	98.99
"38838"	"SCOR.D2.10m.DNA_500596"	23633	99.16
"38856"	"SCOR.D2.10m.DNA_500613"	41856	100
"38860"	"SCOR.D2.10m.DNA_500617"	41856	99.75
"38873"	"SCOR.D2.10m.DNA_500630"	41856	99.79
"38911"	"SCOR.D2.10m.DNA_500667"	27885	98.59
"38918"	"SCOR.D2.10m.DNA_500674"	41856	99.79
"38927"	"SCOR.D2.10m.DNA_500683"	41856	100
"38943"	"SCOR.D2.10m.DNA_500698"	2274	99.37
"38945"	"SCOR.D2.10m.DNA_500700"	10939	98.11
"38949"	"SCOR.D2.10m.DNA_500703"	27885	98.76
"38981"	"SCOR.D2.10m.DNA_500733"	22164	98.47
"38989"	"SCOR.D2.10m.DNA_500741"	41856	99.37
"39020"	"SCOR.D2.10m.DNA_500773"	35162	99.2
"39023"	"SCOR.D2.10m.DNA_500776"	23633	99.58
"39073"	"SCOR.D2.10m.DNA_500826"	27885	98.59
"39082"	"SCOR.D2.10m.DNA_500835"	23633	99.16
"39095"	"SCOR.D2.10m.DNA_500848"	41856	99.79
"39106"	"SCOR.D2.10m.DNA_500859"	32070	98.4
"39122"	"SCOR.D2.10m.DNA_500875"	23633	99.79
"39203"	"SCOR.D2.10m.DNA_500952"	41856	99.58
"39210"	"SCOR.D2.10m.DNA_500959"	41856	100
"39228"	"SCOR.D2.10m.DNA_500977"	23633	99.16
"39251"	"SCOR.D2.10m.DNA_501001"	41856	98.74
"39297"	"SCOR.D2.10m.DNA_501046"	22164	98.6
"39303"	"SCOR.D2.10m.DNA_501052"	41856	99.37
"39384"	"SCOR.D2.10m.DNA_501127"	41856	99.79
"39390"	"SCOR.D2.10m.DNA_501133"	10557	95.96
"39397"	"SCOR.D2.10m.DNA_501140"	23633	99.58
"39409"	"SCOR.D2.10m.DNA_501152"	10557	95.96
"39416"	"SCOR.D2.10m.DNA_501159"	27885	98.59
"39425"	"SCOR.D2.10m.DNA_501168"	41856	100
"39502"	"SCOR.D2.10m.DNA_501244"	23633	99.37
"39503"	"SCOR.D2.10m.DNA_501245"	41856	99.37
"39521"	"SCOR.D2.10m.DNA_501262"	10939	97.98
"39529"	"SCOR.D2.10m.DNA_501270"	41856	99.58
"39540"	"SCOR.D2.10m.DNA_501281"	41856	99.58
"39571"	"SCOR.D2.10m.DNA_501311"	41856	100
"39611"	"SCOR.D2.10m.DNA_501350"	41856	99.79
"39629"	"SCOR.D2.10m.DNA_501367"	10939	97.98
"39635"	"SCOR.D2.10m.DNA_501373"	41856	100
"39640"	"SCOR.D2.10m.DNA_501378"	23633	98.74
"39675"	"SCOR.D2.10m.DNA_501413"	27885	98.75
"39677"	"SCOR.D2.10m.DNA_501415"	41856	99.79
"39686"	"SCOR.D2.10m.DNA_501424"	10939	98.38
"39706"	"SCOR.D2.10m.DNA_501444"	41856	99.58
"39707"	"SCOR.D2.10m.DNA_501445"	10557	95.75
"39719"	"SCOR.D2.10m.DNA_501457"	23633	98.53
"39731"	"SCOR.D2.10m.DNA_501469"	23633	98.32
"39755"	"SCOR.D2.10m.DNA_501493"	23633	98.87
"39756"	"SCOR.D2.10m.DNA_501494"	32070	99.19
"39758"	"SCOR.D2.10m.DNA_501496"	35162	98.8
"39761"	"SCOR.D2.10m.DNA_501499"	41856	100
"39765"	"SCOR.D2.10m.DNA_501503"	23633	98.11
"39826"	"SCOR.D2.10m.DNA_501563"	41856	100
"39884"	"SCOR.D2.10m.DNA_501619"	41856	99.58
"39885"	"SCOR.D2.10m.DNA_501620"	4362	99.38
"39901"	"SCOR.D2.10m.DNA_501636"	23633	99.13
"39916"	"SCOR.D2.10m.DNA_501651"	10557	95.81
"39933"	"SCOR.D2.10m.DNA_501667"	41856	100
"39950"	"SCOR.D2.10m.DNA_501682"	27885	98.8
"39956"	"SCOR.D2.10m.DNA_501688"	23633	99.16
"39972"	"SCOR.D2.10m.DNA_501704"	10939	98.18
"40021"	"SCOR.D2.10m.DNA_501752"	23633	98.11
"40047"	"SCOR.D2.10m.DNA_501775"	41856	99.58
"40055"	"SCOR.D2.10m.DNA_501783"	23633	99.37
"40061"	"SCOR.D2.10m.DNA_501788"	23633	99.16
"40062"	"SCOR.D2.10m.DNA_501789"	23633	97.89
"40095"	"SCOR.D2.10m.DNA_501821"	10939	97.98
"40103"	"SCOR.D2.10m.DNA_501829"	10557	95.54
"40129"	"SCOR.D2.10m.DNA_501854"	41856	100
"40146"	"SCOR.D2.10m.DNA_501870"	41856	99.07
"40159"	"SCOR.D2.10m.DNA_501882"	10557	95.25
"40164"	"SCOR.D2.10m.DNA_501887"	23633	98.32
"40213"	"SCOR.D2.10m.DNA_501934"	41856	99.37
"40221"	"SCOR.D2.10m.DNA_501942"	41856	99.79
"40223"	"SCOR.D2.10m.DNA_501944"	27885	98.8
"40242"	"SCOR.D2.10m.DNA_501964"	41856	98.31
"40258"	"SCOR.D2.10m.DNA_501980"	23633	99.58
"40263"	"SCOR.D2.10m.DNA_501985"	41856	100
"40274"	"SCOR.D2.10m.DNA_501996"	41856	99.79
"40284"	"SCOR.D2.10m.DNA_502006"	10557	95.75
"40305"	"SCOR.D2.10m.DNA_502025"	10939	98.38
"40307"	"SCOR.D2.10m.DNA_502027"	10557	95.91
"40312"	"SCOR.D2.10m.DNA_502031"	41856	99.79
"40335"	"SCOR.D2.10m.DNA_502053"	23633	98.48
"40354"	"SCOR.D2.10m.DNA_502072"	41856	99.79
"40398"	"SCOR.D2.10m.DNA_502116"	10557	95.96
"40425"	"SCOR.D2.10m.DNA_502141"	27885	98.6
"40435"	"SCOR.D2.10m.DNA_502151"	41856	99.58
"40443"	"SCOR.D2.10m.DNA_502159"	10939	98.38
"40444"	"SCOR.D2.10m.DNA_502160"	23633	97.9
"40447"	"SCOR.D2.10m.DNA_502163"	23633	98.74
"40484"	"SCOR.D2.10m.DNA_502200"	41856	100
"40565"	"SCOR.D2.10m.RNA_971806"	41856	96.62
"41014"	"SCOR.D2.10m.RNA_972257"	41856	100
"41152"	"SCOR.D2.10m.RNA_972397"	41856	99.79
"42405"	"SCOR.D2.10m.RNA_973630"	41856	99.16
"42482"	"SCOR.D2.10m.RNA_973706"	41856	99.79
"42666"	"SCOR.D2.10m.RNA_973890"	41856	100
"42838"	"SCOR.D2.10m.RNA_974057"	41856	99.79
"42868"	"SCOR.D2.10m.RNA_974088"	41856	99.79
"42926"	"SCOR.D2.10m.RNA_974141"	35162	99
"43213"	"SCOR.D2.10m.RNA_974415"	41856	99.58
"43252"	"SCOR.D2.10m.RNA_974455"	41856	99.79
"43508"	"SCOR.D2.10m.RNA_974715"	23633	98.11
"43605"	"SCOR.D2.10m.RNA_974812"	35162	98.8
"43676"	"SCOR.D2.10m.RNA_974882"	35162	99.4
"43821"	"SCOR.D2.10m.RNA_975027"	10202	97.5
"43900"	"SCOR.D2.10m.RNA_975102"	41856	98.52
"44301"	"SCOR.D2.10m.RNA_975512"	23633	98.11
"44368"	"SCOR.D2.10m.RNA_975582"	10460	97.4
"44405"	"SCOR.D2.10m.RNA_975620"	41856	99.76
"44442"	"SCOR.D2.10m.RNA_975655"	23633	99.16
"44721"	"SCOR.D2.10m.RNA_975933"	41856	98.1
"45036"	"SCOR.D2.10m.RNA_976245"	35162	99.2
"45319"	"SCOR.D2.10m.RNA_976517"	41856	99.79
"45329"	"SCOR.D2.10m.RNA_976526"	41856	99.79
"45486"	"SCOR.D2.10m.RNA_976674"	23633	99.16
"45580"	"SCOR.D2.10m.RNA_976763"	2274	99.39
"45657"	"SCOR.D2.10m.RNA_976838"	41856	99.37
"45694"	"SCOR.D2.10m.RNA_976876"	41856	99.58
"45978"	"SCOR.D2.10m.RNA_977150"	41856	99.79
"46097"	"SCOR.D2.10m.RNA_977265"	41856	99.79
"46173"	"SCOR.D2.10m.RNA_977338"	10557	96.17
"46232"	"SCOR.D2.10m.RNA_977398"	10557	95.74
"46389"	"SCOR.D2.10m.RNA_977554"	35162	98.8
"46484"	"SCOR.D2.10m.RNA_977650"	41856	100
"46634"	"SCOR.D2.10m.RNA_977795"	41856	100
"46699"	"SCOR.D2.10m.RNA_977854"	23633	98.32
"46879"	"SCOR.D2.10m.RNA_978032"	41856	99.79
"46903"	"SCOR.D2.10m.RNA_978055"	10557	95.72
"47002"	"SCOR.D2.10m.RNA_978156"	41856	99.58
"47020"	"SCOR.D2.10m.RNA_978175"	23633	99.37
"47075"	"SCOR.D2.10m.RNA_978229"	41856	99.79
"47276"	"SCOR.D2.10m.RNA_978430"	41856	100
"47327"	"SCOR.D2.10m.RNA_978481"	23633	98.95
"47607"	"SCOR.D2.10m.RNA_978750"	41856	100
"48017"	"SCOR.D2.10m.RNA_979159"	41856	98.1
"48040"	"SCOR.D2.10m.RNA_979179"	41856	98.31
"48098"	"SCOR.D2.10m.RNA_979236"	23633	97.9
"48356"	"SCOR.D2.10m.RNA_979496"	35162	98.8
"48384"	"SCOR.D2.10m.RNA_979523"	41856	99.79
"48438"	"SCOR.D2.10m.RNA_979578"	35162	99.2
"48482"	"SCOR.D2.10m.RNA_979621"	35162	98.8
"48484"	"SCOR.D2.10m.RNA_979623"	41856	98.73
"48542"	"SCOR.D2.10m.RNA_979680"	23633	98.95
"48842"	"SCOR.D2.10m.RNA_979969"	41856	98.95
"49039"	"SCOR.D2.10m.RNA_980168"	41856	98.1
"49310"	"SCOR.D2.10m.RNA_980439"	41856	100
"49586"	"SCOR.D2.10m.RNA_980716"	41856	99.58
"49976"	"SCOR.D2.10m.RNA_981102"	41856	97.07
"50218"	"SCOR.D2.10m.RNA_981336"	41856	99.16
"50446"	"SCOR.D2.10m.RNA_981558"	23633	98.32
"50722"	"SCOR.D2.10m.RNA_981833"	23633	98.32
"51096"	"SCOR.D2.10m.RNA_982198"	41856	99.16
"51165"	"SCOR.D2.10m.RNA_982265"	35162	97.41
"51259"	"SCOR.D2.10m.RNA_982354"	41856	99.79
"51271"	"SCOR.D2.10m.RNA_982367"	41856	99.79
"51313"	"SCOR.D2.10m.RNA_982404"	41856	99.79
"51522"	"SCOR.D2.10m.RNA_982611"	35162	99.38
"51816"	"SCOR.D2.10m.RNA_982903"	23633	98.32
"52060"	"SCOR.D2.10m.RNA_983148"	27885	97.99
"52374"	"SCOR.D2.10m.RNA_983460"	35162	99
"52427"	"SCOR.D2.10m.RNA_983509"	41856	99.79
"52747"	"SCOR.D2.10m.RNA_983832"	41856	99.37
"52982"	"SCOR.D2.10m.RNA_984068"	41856	99.37
"53125"	"SCOR.D2.10m.RNA_984209"	41856	99.79
"53185"	"SCOR.D2.10m.RNA_984266"	35162	98.8
"53373"	"SCOR.D2.10m.RNA_984452"	41856	98.95
"53384"	"SCOR.D2.10m.RNA_984462"	23633	98.53
"53580"	"SCOR.D2.110m.DNA_562274"	23633	99.58
"53633"	"SCOR.D2.110m.DNA_562325"	39646	98.96
"53686"	"SCOR.D2.110m.DNA_562376"	17547	99.79
"53749"	"SCOR.D2.110m.DNA_562439"	28241	99.38
"53789"	"SCOR.D2.110m.DNA_562479"	39646	99.21
"53850"	"SCOR.D2.110m.DNA_562540"	39646	99.58
"53970"	"SCOR.D2.110m.DNA_562660"	17737	97.72
"54062"	"SCOR.D2.110m.DNA_562749"	39646	98.57
"54085"	"SCOR.D2.110m.DNA_562772"	39646	98.8
"54089"	"SCOR.D2.110m.DNA_562776"	39646	98.74
"54128"	"SCOR.D2.110m.DNA_562815"	23633	99.16
"54162"	"SCOR.D2.110m.DNA_562849"	35841	100
"54238"	"SCOR.D2.110m.DNA_562923"	39646	99.01
"54447"	"SCOR.D2.110m.DNA_563124"	19082	99.6
"54506"	"SCOR.D2.110m.DNA_563181"	23633	98.94
"54582"	"SCOR.D2.110m.DNA_563256"	10939	98.32
"54606"	"SCOR.D2.110m.DNA_563278"	5081	95.41
"54675"	"SCOR.D2.110m.DNA_563346"	23633	98.32
"54874"	"SCOR.D2.110m.DNA_563540"	39646	99.37
"54884"	"SCOR.D2.110m.DNA_563550"	35841	99.79
"54980"	"SCOR.D2.110m.DNA_563644"	19082	99.8
"55094"	"SCOR.D2.110m.DNA_563757"	23633	97.7
"55100"	"SCOR.D2.110m.DNA_563764"	23633	98.32
"55119"	"SCOR.D2.110m.DNA_563783"	39646	99
"55170"	"SCOR.D2.110m.DNA_563831"	39646	99.52
"55204"	"SCOR.D2.110m.DNA_563865"	10939	98.35
"55326"	"SCOR.D2.110m.DNA_563985"	17737	97.52
"55340"	"SCOR.D2.110m.DNA_563999"	39646	99.2
"55426"	"SCOR.D2.110m.DNA_564082"	12385	98.15
"55431"	"SCOR.D2.110m.DNA_564087"	39646	99.4
"55779"	"SCOR.D2.110m.DNA_564428"	12385	99.35
"55796"	"SCOR.D2.110m.DNA_564445"	39646	99.18
"55837"	"SCOR.D2.110m.DNA_564486"	39646	99.2
"55915"	"SCOR.D2.110m.DNA_564565"	5081	97.92
"55936"	"SCOR.D2.110m.DNA_564586"	17737	97.93
"55951"	"SCOR.D2.110m.DNA_564601"	26582	100
"55960"	"SCOR.D2.110m.DNA_564610"	32940	99.4
"55998"	"SCOR.D2.110m.DNA_564648"	39646	99.37
"56075"	"SCOR.D2.110m.DNA_564724"	49468	99.16
"56125"	"SCOR.D2.110m.DNA_564773"	39646	98.62
"56167"	"SCOR.D2.110m.DNA_564815"	39646	99.16
"56177"	"SCOR.D2.110m.DNA_564825"	39646	98.78
"56207"	"SCOR.D2.110m.DNA_564855"	17737	97.66
"56385"	"SCOR.D2.110m.DNA_565027"	39646	98.55
"56461"	"SCOR.D2.110m.DNA_565102"	39646	98.78
"56570"	"SCOR.D2.110m.DNA_565209"	39646	98.42
"56657"	"SCOR.D2.110m.DNA_565297"	10939	98.39
"56786"	"SCOR.D2.110m.DNA_565426"	23633	98.32
"56828"	"SCOR.D2.110m.DNA_565467"	23633	98.11
"56946"	"SCOR.D2.110m.DNA_565585"	23633	99.79
"56994"	"SCOR.D2.110m.DNA_565633"	49468	99.37
"57018"	"SCOR.D2.110m.DNA_565657"	30591	99.79
